
Sysinternals Autoruns v14.3 - Autostart program viewer
Copyright © 2002-2026 Mark Russinovich
Sysinternals - www.sysinternals.com

Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
4/1/2024 2:26:32 PM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 6:59:25 PM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,rdpclip,enabled,Logon,System-wide,RDP Clipboard Monitor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\rdpclip.exe,10.0.26100.9444,rdpclip,,,,,,
4/1/2024 2:28:55 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 7:00:03 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,SecurityHealth,enabled,Logon,System-wide,Windows Security notification icon,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\SecurityHealthSystray.exe,10.0.26100.8115,%windir%\system32\SecurityHealthSystray.exe,,,,,,
9/22/2026 3:37:28 PM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 6:58:14 PM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,explorer.exe,enabled,Logon,System-wide,Windows Explorer,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\explorer.exe,10.0.26100.9444,explorer.exe,ED724F3C0D9C5815E5F82308050A5742,3DD0BD41A79B3875AACA1A0CD2D34C3267A16740,48CA51568302E509701DF8E5B2CAE7C5BFBA23C2,DC61AC59537E55B252CD2F5B4D8F329DE985031F3923AC40F8C848ECA491A002,87811A107EED62900B230C49A252170D6A7307E94A08307CE972F9B9B8155D54,7D63FFC8FD3FCA887F8F6E6F7558B4FF
4/1/2024 2:26:32 PM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 6:57:54 PM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,cmd.exe,enabled,Logon,System-wide,Windows Command Processor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\cmd.exe,10.0.26100.9278,cmd.exe,F2A8884471C2579515594F02829E3A3F,6122E29A833A1F95E725DF47487B8EDB9EAF1BAA,318F2C0CE1B4D5EACFFFF9CB0D132497483A7C64,6D96736806EEAC784131475705B61683A40AC9EBD1BF0947455D03A803E7DAFE,A5923F7667D1D0E7D8B10F9E53FB22E04AA424B87A18805EC8F08F2BE5092205,58AF81EFB41B1E0E3595B9D25C292C7D
9/22/2026 3:37:28 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 6:59:35 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,C:\WINDOWS\system32\userinit.exe,enabled,Logon,System-wide,Userinit Logon Application,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\userinit.exe,10.0.26100.9278,C:\WINDOWS\system32\userinit.exe,4C089A5C8835B07B9CA71D46A0E4FEB9,98DCBF1546D99490A50F9999C2B8BECBC4D6A80C,09AD1915C836C09285C790CBA91E5365AA262ECB,2717F2F468E1F49D5524D56EAF4CD5096AC01859F3256FDDB56BA2F3367885DD,929524BBEB475D0709BDB1EB25F9A65DD88F9E49EE6659404138150ACACEFFAC,3D8B111F81892ABB84CDF7949CB9799D
9/22/2026 3:37:28 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,,,Logon,System-wide,,,,,,,,,,,,
4/1/2024 2:22:12 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,SystemPropertiesPerformance.exe /pagefile,enabled,Logon,System-wide,Change Computer Performance Settings,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\SystemPropertiesPerformance.exe,10.0.26100.1,SystemPropertiesPerformance.exe /pagefile,3B1B36208CA1E3E0E82A99D4060A09BB,0C3D961FF9AC81E503B9C671CA889E313663AD9E,64CB80DBE1202251D90C33FD7B03BA770656BEFF,ADCE30FC3EA2AD1A2B436B9DEC1D919EA66920E30728231FE527674264EC3FCF,ED1A76B3F289F76CB2DED261F9448FC5E334BD25E8BF1B5BDBB044DECF899931,0C021C23DE2070C3C89AA72CC7E919E9
3/7/2026 7:03:59 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,,,Logon,System-wide,,,,,,,,,,,,
9/22/2026 3:06:37 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Edge,enabled,Logon,System-wide,Microsoft Edge Installer,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\Program Files (x86)\Microsoft\Edge\Application\153.0.4234.48\Installer\setup.exe,153.0.4234.48,"""C:\Program Files (x86)\Microsoft\Edge\Application\153.0.4234.48\Installer\setup.exe"" --configure-user-settings --verbose-logging --system-level --msedge --channel=stable",8957259237D85CEF919E425E37E3F898,B1FBDDA4A5C6350FB42BE0BBEC627E4DD77EC2C7,6D0BF80E1825099FC86192B42D5174C6D08901EA,89A2D5C5B65C17C188544C5E5CC80C9FDA8B72FB378742E64C02F28E75C2EC36,CE0A78FA55546B90D1994432472D471D7A60F5D32AFA83BFF361BF35AF2B3A41,22D373FE5F282538EB44F4FF8E4173C8
3/7/2026 6:48:13 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /ShowWMP,EF868C12934DD8F6B051AC93618A91F7,3DB967C43313AEB0402645594E126D7F868A191D,FD5DB16064F41E7763472968C5DE071CCE586237,8DA6DC778B71EB3A5D752922A7F50DC6B11B683F05821604ADEFFBFF1C3BDC13,5C45E20E9C49BA4331CCEC6350B8314F37D9B7136906FBE2CAA1FFDD1A0CA906,08CF6BE2BDE79032587AD5BA07627D94
3/7/2026 6:48:13 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /FirstLogon,EF868C12934DD8F6B051AC93618A91F7,3DB967C43313AEB0402645594E126D7F868A191D,FD5DB16064F41E7763472968C5DE071CCE586237,8DA6DC778B71EB3A5D752922A7F50DC6B11B683F05821604ADEFFBFF1C3BDC13,5C45E20E9C49BA4331CCEC6350B8314F37D9B7136906FBE2CAA1FFDD1A0CA906,08CF6BE2BDE79032587AD5BA07627D94
4/1/2024 2:22:17 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,n/a,enabled,Logon,System-wide,Microsoft .NET IE SECURITY REGISTRATION,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\Windows\System32\mscories.dll,2.0.50727.9157,C:\Windows\System32\mscories.dll,672CA7A975752AA601E3BEA0D6D589BE,C7380E11949C6E720AB970557AF2A95D2D09E95F,8C0A2B730A26F334DF2D882DF375ADDBCB028F70,9E2578CCC205C840126720727A210C00F18B0B8A21C562B689D8972C6C0ABBF5,DC42B8FC1AF85390D9027F2A96D78462357916919AE12E3D2D695F58404FD492,08A027E94DD9452BDF5B6AF03B573759
9/15/2026 6:59:27 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Themes Setup,enabled,Logon,System-wide,Windows Theme API,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\themeui.dll,10.0.26100.9278,themeui.dll,DDC1DA20DB12ADB35F86BA53ACD946AB,03988914F01C1B15AF06A9A1AF0A22691C5432C0,7F6F659B8E88A4A5EABB1259E603970A0EAE6032,2A6627261172A84F9AE615B05B6229C698124437FC83E65C18D4FD747990BC76,0C070285267E8332F6EF432E497A4939DD0E485A20B87E4FB438A9CFBD166FB4,8DDA07DFB4B3B6C65C9358795D770AD1
9/15/2026 6:58:25 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Web Platform Customizations,enabled,Logon,System-wide,IE Per-User Initialization Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\ie4uinit.exe,11.0.26100.9278,C:\Windows\System32\ie4uinit.exe -UserConfig,,,,,,
9/15/2026 6:59:10 PM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Windows Desktop Update,enabled,Logon,System-wide,Windows Shell Common Dll,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\shell32.dll,10.0.26100.9278,shell32.dll,347AC97D43E76943FD2C880017B39051,D7D5A41A2AA8A6CE5282EAF682877B2DDA43D68F,FF16F3BEC691B1DA909978E6646FD67BE8F28170,5F8EA3AE0EE98E96F2C777E804E441B9E384EB0321A70CF00768A81F9CCD4B53,1D79D4611F64BB78C10A4688377CDDD2E93B6DD12437C537F11D3D763772DEA0,144A850F642BF4DE95500A35A3B02457
9/15/2026 7:16:14 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\IconServiceLib,,,Logon,System-wide,,,,,,,,,,,,
4/1/2024 2:22:14 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\IconServiceLib,IconCodecService.dll,enabled,Logon,System-wide,Converts a PNG part of the icon to a legacy bmp icon,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\IconCodecService.dll,10.0.26100.1,IconCodecService.dll,E59C92F1450DB8BD0AEB96E87D7C2CE8,975149B010579A8FDF63B05994AEB3ECD798DF0E,24BE5B54B86E6D96BB9AE85ACB579FDD96F32A0F,EFABB5C2C0EBEE2EA9C1D6C9A211DC65BEDD771D0E2830A29E6E1B4D72AE3752,759D2911192BE3BA1FB325F9E0A00840CB68C79DFAA8897763EF14C94AC3ED20,ABDB528366A287CAD4479AA7B9210C73
3/7/2026 6:44:36 AM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,,,Logon,System-wide,,,,,,,,,,,,
3/7/2026 6:48:13 AM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\Syswow64\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /ShowWMP,EF868C12934DD8F6B051AC93618A91F7,3DB967C43313AEB0402645594E126D7F868A191D,FD5DB16064F41E7763472968C5DE071CCE586237,8DA6DC778B71EB3A5D752922A7F50DC6B11B683F05821604ADEFFBFF1C3BDC13,5C45E20E9C49BA4331CCEC6350B8314F37D9B7136906FBE2CAA1FFDD1A0CA906,08CF6BE2BDE79032587AD5BA07627D94
3/7/2026 6:48:13 AM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\Syswow64\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /FirstLogon,EF868C12934DD8F6B051AC93618A91F7,3DB967C43313AEB0402645594E126D7F868A191D,FD5DB16064F41E7763472968C5DE071CCE586237,8DA6DC778B71EB3A5D752922A7F50DC6B11B683F05821604ADEFFBFF1C3BDC13,5C45E20E9C49BA4331CCEC6350B8314F37D9B7136906FBE2CAA1FFDD1A0CA906,08CF6BE2BDE79032587AD5BA07627D94
4/1/2024 2:22:17 PM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,n/a,enabled,Logon,System-wide,Microsoft .NET IE SECURITY REGISTRATION,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\Windows\System32\mscories.dll,2.0.50727.9157,C:\Windows\SysWOW64\mscories.dll,672CA7A975752AA601E3BEA0D6D589BE,C7380E11949C6E720AB970557AF2A95D2D09E95F,8C0A2B730A26F334DF2D882DF375ADDBCB028F70,9E2578CCC205C840126720727A210C00F18B0B8A21C562B689D8972C6C0ABBF5,DC42B8FC1AF85390D9027F2A96D78462357916919AE12E3D2D695F58404FD492,08A027E94DD9452BDF5B6AF03B573759
4/1/2024 3:03:56 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,,,Explorer,System-wide,,,,,,,,,,,,
9/15/2026 6:57:49 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Bluetooth Authentication Agent SSO,enabled,Explorer,System-wide,Bluetooth Control Panel Applet,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\bthprops.cpl,10.0.26100.9278,C:\Windows\System32\bthprops.cpl,805BD238CDD30081B3CD19772A297CE8,F256CF385A102FDD383342AEEB7183EFA098D3F6,E041F0B475E642D0E2C687437342CBBFC0E1CBB5,CACD075A8A42EBBEB01957F303D9C4B11933EEB9F79EB39DDDE28DC905DE1075,BA4AC365A0FB02B30383767FC486E38B00FF6E06C0AFF5F6A28AD16277E01D43,2FAE4E38588730FB83E663EACFD5F19B
9/15/2026 6:58:47 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Client Side Caching UI,enabled,Explorer,System-wide,Client Side Caching UI,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\cscui.dll,10.0.26100.9278,C:\WINDOWS\System32\cscui.dll,,,,,,
9/15/2026 6:57:51 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Cloud Cache Invalidator SSO,enabled,Explorer,System-wide,Cloud Data Store,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\Windows.CloudStore.dll,10.0.26100.9278,C:\Windows\System32\Windows.CloudStore.dll,,,,,,
9/15/2026 6:58:11 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Device Stage Shell Extension,enabled,Explorer,System-wide,Device Stage Shell Extension,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\dxp.dll,10.0.26100.8972,C:\WINDOWS\system32\dxp.dll,,,,,,
9/15/2026 6:58:19 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,HomeGroup SSO,enabled,Explorer,System-wide,HomeGroup Control Panel,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\hgcpl.dll,10.0.26100.9278,C:\WINDOWS\System32\hgcpl.dll,D59AD0676092EC3F5949BBE5CCC00757,1C52D710DB033AD78A5F5F6B2F3CC02B23AD59A6,CD81D070D2DCF45B7DB2219EF69A4CD1015FF838,6674CFBACBD7ADCF5BBA7EF19599998604575BD74421521FB2FE3D00D058A124,882A5299C053824B908408643798C0F84B7A101E8E3B49510BE1DFC96244AA58,2E5C860BA4C1575D6091DF740CC944E5
9/15/2026 6:58:48 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Library Group Policy Shell Service Object,enabled,Explorer,System-wide,Microsoft WinRT Storage API,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\windows.storage.dll,10.0.26100.9444,C:\WINDOWS\system32\windows.storage.dll,D262FF5D82F0036D2AB682D39F7B7CEE,C8087E3FD80D01876165EE3F03FAA451BCE68560,33FE570137C3174E48EB77780BA9DABE0FF89D60,8877393ACD1A34269A28231F744DEAA686526F7697845A6BCD93DF555A2DB2F5,AF7298C0B4A83CCEE4C9D8400207E94CBAFCFCDBE95FD9D0F7F5232DFD1E1F47,D55724FFAADBB5F5609EBB16C69229C0
9/15/2026 6:57:45 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Microsoft VolumeControlService Class,enabled,Explorer,System-wide,SCA Volume,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\SndVolSSO.dll,10.0.26100.9278,C:\WINDOWS\System32\SndVolSSO.dll,4DCA9B11746C027C9E6DD8E067D79694,A76EB8A97D3FCF6B4F6144C9DF28B2DD57C947E6,3EFF92ABC58FB53D05EF6FB57D4D668A69286071,1141E6EA9C6A6EBD2A48DF9CB82F5EDD39A170CA10E24B3467044F3D6082A901,CEE0803EBCBE4D208CA60873640A40B15ED8D22916D12A523CE7143399007C9E,5C52BD58D8C483B03C9D36384DACA200
9/15/2026 6:58:14 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,OneDrive network states cache SSO,enabled,Explorer,System-wide,Windows.FileExplorer.Common,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\Windows.FileExplorer.Common.dll,10.0.26100.9278,C:\Windows\System32\Windows.FileExplorer.Common.dll,13633CBBB49AD80CBCC7048C2D69AADA,C1CD0F80A4FC0669AA548E78D3C1137A1EA8DB7C,8371C01DDB795C08DBBE884B04F8FC982D92E477,6BB2FC61C59867D04F5031847D7A28649DC865E6E36626638F6D09490A13BBC8,8C3A981B7A8B483FA92402679039BADF911279746715EFB761C1DDC3151DBC1C,EB9BED1E3119F6561499AEAD5B84A075
9/15/2026 6:59:10 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,PostBootReminder object,enabled,Explorer,System-wide,Windows Shell Common Dll,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\shell32.dll,10.0.26100.9278,C:\WINDOWS\system32\shell32.dll,347AC97D43E76943FD2C880017B39051,D7D5A41A2AA8A6CE5282EAF682877B2DDA43D68F,FF16F3BEC691B1DA909978E6646FD67BE8F28170,5F8EA3AE0EE98E96F2C777E804E441B9E384EB0321A70CF00768A81F9CCD4B53,1D79D4611F64BB78C10A4688377CDDD2E93B6DD12437C537F11D3D763772DEA0,144A850F642BF4DE95500A35A3B02457
9/15/2026 6:59:10 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Published Items Shell Service Object,enabled,Explorer,System-wide,Windows Shell Common Dll,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\shell32.dll,10.0.26100.9278,C:\WINDOWS\system32\shell32.dll,347AC97D43E76943FD2C880017B39051,D7D5A41A2AA8A6CE5282EAF682877B2DDA43D68F,FF16F3BEC691B1DA909978E6646FD67BE8F28170,5F8EA3AE0EE98E96F2C777E804E441B9E384EB0321A70CF00768A81F9CCD4B53,1D79D4611F64BB78C10A4688377CDDD2E93B6DD12437C537F11D3D763772DEA0,144A850F642BF4DE95500A35A3B02457
9/15/2026 6:58:18 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Security and Maintenance Shell Service Object,enabled,Explorer,System-wide,Security and Maintenance,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\Actioncenter.dll,10.0.26100.9278,C:\WINDOWS\System32\Actioncenter.dll,B8E763DCA2097EDE090207D91CC84FF5,3A47E06A023553FF05CD62E48E9FA0E1E641F2DE,6AE7C06A933A6184CB2F48CC957D1E69059FA04A,4B6901F8699ED53CFD7087F935304FCC6788D5A690EE8BD948957E4ADCBF778D,7F44B330876DFB8397E6D6550DA52005E5F972A162EB4DDEB454B15B1619600D,120163AF9B8B7213EDA1DFAACB35274B
9/15/2026 6:59:10 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,ShellFolder for CD Burning,enabled,Explorer,System-wide,Windows Shell Common Dll,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\shell32.dll,10.0.26100.9278,C:\WINDOWS\system32\shell32.dll,347AC97D43E76943FD2C880017B39051,D7D5A41A2AA8A6CE5282EAF682877B2DDA43D68F,FF16F3BEC691B1DA909978E6646FD67BE8F28170,5F8EA3AE0EE98E96F2C777E804E441B9E384EB0321A70CF00768A81F9CCD4B53,1D79D4611F64BB78C10A4688377CDDD2E93B6DD12437C537F11D3D763772DEA0,144A850F642BF4DE95500A35A3B02457
9/15/2026 6:58:42 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Sync Center Shell Service Object (Internal),enabled,Explorer,System-wide,Microsoft Sync Center,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\SyncCenter.dll,10.0.26100.8972,C:\WINDOWS\System32\SyncCenter.dll,E3010078517D3778BE83C499777CB627,195516DDEB2704E853A216D8B9C49E408F5AB04F,1B1F890626ABF37BCB1E7854C4A6930BFA19B147,2C3BE4C09C4CDB0C07A4DAE98F42B548DCBC3DCE03BA9DBE09049590BE5481D9,D491BD8AD46D8C090E395C852255FFF8F805B0FB9F995B6C8DC1133F1030ABC5,B9EF255FD659D63215E2EA18E5AE7294
9/15/2026 6:59:17 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,UnexpectedShutdownReason,enabled,Explorer,System-wide,Systray shell service object,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\stobject.dll,10.0.26100.9278,C:\WINDOWS\system32\stobject.dll,36F89AF6B5C9C8036B1E55E36878B56C,61F276540E57C211025BFA6681786A99E3D93969,6E255618E0F7D47B043F27BF237146984ABC6C6D,707DB5A89B43A89B7E718066BEA106AD0EBDB88DCB264F8550049B975DF14FB4,97C88FA09975F0D46C4AC040A8AE7C8B9EE4311BEE050EF57296519BAB5CF738,CAC5D8C1DEA3D5DF7DAE0AFD71CE85B4
9/15/2026 6:58:19 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,User Account Control Check Service,enabled,Explorer,System-wide,Security and Maintenance Providers,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\hcproviders.dll,10.0.26100.8115,C:\WINDOWS\System32\hcproviders.dll,F4979C448F133142688FA43085F6582B,1272331D68A6A81954938A1D9B4ED5D64C1A56E1,9CAF807404C3D48357B8FF009C76CF410F11CDF2,04D674D328C5C9D9264D49460B62CAE4E9B764B671ED8D16CED5C2F37602AA65,38A022BA37D440C8869235172B9D865F685E29F016BFED431E9B59A325B4138C,F2B9A77DDBA24B8CBC8526931E3D98B8
9/15/2026 6:59:08 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,WebCheck,enabled,Explorer,System-wide,Shell Doc Object and Control Library,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\shdocvw.dll,10.0.26100.9278,C:\Windows\System32\shdocvw.dll,90C2A583910BF412306B162799E7D0DA,4E8BF7419FE41C16B37CFF5B7310BBCE9B638B28,AD8934998D8C443D0DF65284D6D2E56167F090E9,CED2094611BFFFCA4AF292C702DEBDD8E781AAF45316F585A575102A354F381B,974CE8D38BC065017B8A27EA1D2559827B21B3E87B1760AD35368C4E459AA4CE,C12E63D22D980E27C6AE0EFBAC125EBA
9/15/2026 6:57:19 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Windows Search Shell Service Object,enabled,Explorer,System-wide,Indexing Options,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\srchadmin.dll,7.0.26100.9278,C:\WINDOWS\System32\srchadmin.dll,8CB440FB94DB3730B411284C25714049,B967852DF6488D38837107366CC7FD0714F77E60,6B6FAE49A3099B8375AB4045B69C1D6BB2AC8488,9E744FC0677DF52AA17FB5D65B6F82ABC4E19A23BA9B7FB7187641BA2BFC5356,E880CC952C95A0719C2DC5C055B0BAADBA6C39393182786B3AB3B4BFF94B3923,D79B772690FF3B880FF2918515175569
3/7/2026 6:48:18 AM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,Windows To Go Shell Service Object,enabled,Explorer,System-wide,Windows To Go Shell Service Object,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\System32\pwsso.dll,10.0.26100.1882,C:\WINDOWS\System32\pwsso.dll,,,,,,
3/7/2026 6:48:40 AM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\ShellServiceObjects,WPDShServiceObj Class,enabled,Explorer,System-wide,Windows Portable Device Shell Service Object,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\wpdshserviceobj.dll,10.0.26100.5074,C:\WINDOWS\system32\wpdshserviceobj.dll,4BF9B54C3797628AAB560115B5BA36CB,A8BEF4BD4C90286CA6AC5124C716A26F38F44C4C,22FC8A1762D16911448D288B895B463932A46CC9,6893CF894EFFE6655F1E5EC113B02399714A2606177EDEB561E6120A00B8C2D5,ED5D23F473F7A21E620AA527EF4D64466009FB5AD52BDB6C9B8206E2EDB50D58,7E136071F2BD11C956826A2D7403887E
4/1/2024 2:28:59 PM,HKLM\SOFTWARE\Classes\Protocols\Handler,,,Explorer,System-wide,,,,,,,,,,,,
9/15/2026 6:58:23 PM,HKLM\SOFTWARE\Classes\Protocols\Handler,about,enabled,Explorer,System-wide,Microsoft (R) HTML Viewer,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\mshtml.dll,11.0.26100.9278,C:\Windows\System32\mshtml.dll,FD6B02BD6AB259131DFE3BE87364BB2F,9867A630BA3A0322250E707D04ED064ADE11CED3,79CF99D9AD4988020EF903FF0BEA35F5395357C3,C62EEBF78A5DEEB73AE72C069F240C8104EEE0C1CBF2BFDC5B126C9E30733E41,E8456DC56FAF9B299B840FBCB09ED139ACA65C075BC94448DD5E4A4F9909FA9B,A96CDBBB4A1A2A3BB0BBEDF89E1D6094
